Statement,Link,Date, Source, Label
“Coroner saying George Floyd died of drug overdose^ not police brutality.”,https://www.politifact.com/factchecks/2020/sep/25/blog-posting/two-autopsies-found-george-floyds-death-was-homici/,mber 25^ 2020,Bloggers,false
“In the last 10 years less than half of adults in the U.S. received a flu shot.”,https://www.politifact.com/factchecks/2020/sep/25/michael-burgess/how-many-adults-get-flu-shots-each-year/,mber 25^ 2020,Michael Burgess,true
Says Kentucky Attorney General Daniel Cameron “married his mentor Mitch McConnell's granddaughter.",https://www.politifact.com/factchecks/2020/sep/25/facebook-posts/no-kentucky-attorney-general-daniel-cameron-did-no/,mber 25^ 2020,Facebook posts,false
“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,https://www.politifact.com/factchecks/2020/sep/25/chris-larson/yes-republicans-could-end-evers-state-emergency-an/,mber 25^ 2020,Chris Larson,true
Says Joe Biden's plan for net-zero emissions "would instantly shut down all fracking and all mining immediately in Pennsylvania.",https://www.politifact.com/factchecks/2020/sep/25/donald-trump/fact-checking-trumps-claim-biden-would-immediately/,mber 25^ 2020,Donald Trump,false
A U-Haul operated by antifa activists distributed “shields^ weapons & black bloc” to protesters in Louisville^ Ky.^ and is linked to “a George Soros-funded initiative.”,https://www.politifact.com/factchecks/2020/sep/24/facebook-posts/fact-checking-disinformation-about-louisville-u-ha/,mber 24^ 2020,Facebook posts,barely-true
Says Joe Biden “tried to cut Social Security and Medicare for decades. … Now Biden’s promising your benefits to illegal immigrants.”,https://www.politifact.com/factchecks/2020/sep/24/donald-trump/donald-trump-ad-distorts-bidens-record-social-secu/,mber 24^ 2020,Donald Trump,barely-true
"When California faced a budget crisis^" Christy Smith "voted to lay off teachers and then voted to increase her pay.",https://www.politifact.com/factchecks/2020/sep/24/congressional-leadership-fund/attack-ad-exaggerates-christy-smith-votes-lay-teac/,mber 24^ 2020,Congressional Leadership Fund,barely-true
“Only one” Black-owned restaurant in Michigan received a loan through the Paycheck Protection Program,https://www.politifact.com/factchecks/2020/sep/24/kamala-harris/harris-highlights-racial-disparities-distribution-/,mber 24^ 2020,Kamala Harris,barely-true
Says “John James supported Betsy DeVos’ agenda to cut public school funding and put it into wealthy private schools instead.”,https://www.politifact.com/factchecks/2020/sep/24/senate-majority-pac/james-supports-school-choice-and-devos-does-he-wan/,mber 24^ 2020,Senate Majority PAC,barely-true
Says Donald Trump is “the worst jobs president in recorded history.",https://www.politifact.com/factchecks/2020/sep/24/joe-biden/donald-trump-worst-jobs-president-recorded-history/,mber 24^ 2020,Joe Biden,half-true
Says Thom Tillis has been “blocking his own party’s efforts to reduce the cost of prescription drugs.”,https://www.politifact.com/factchecks/2020/sep/24/cal-cunningham/cunningham-half-right-about-tillis-role-prescripti/,mber 24^ 2020,Cal Cunningham,half-true
Photo shows Dianne Feinstein “bullying” Lisa Murkowski over “the now empty seat of the late Justice Ruth Bader Ginsburg.”,https://www.politifact.com/factchecks/2020/sep/23/blog-posting/photo-feinstein-murkowski-2018-not-2020/,mber 23^ 2020,Bloggers,false
Quotes Sen. Mitt Romney as saying: “The Merrick Garland decision wasn’t unfair & the notion that someone has to pay the price to make up for it is wrong.”,https://www.politifact.com/factchecks/2020/sep/23/instagram-posts/romney-quote-about-merrick-garland-supreme-court-v/,mber 23^ 2020,Instagram posts,half-true
Quotes Ronald Reagan as saying^ “Keep voting Democrat ... One day they will restrict your freedoms^ restrict your history and restrict your safety. All in the name of professional victims that don't understand the consequences of their ignorance.”,https://www.politifact.com/factchecks/2020/sep/23/viral-image/no-ronald-reagan-didnt-say-about-democrats/,mber 23^ 2020,Viral image,false
“Guess who is the marketing CEO of Zoom? Pelosi’s daughter/Newsome’s cousin.”,https://www.politifact.com/factchecks/2020/sep/23/viral-image/zoom-ceo-not-related-nancy-pelosi-gavin-newsom/,mber 23^ 2020,Viral image,false
Says Facebook “is banning Trump from advertising for president.”,https://www.politifact.com/factchecks/2020/sep/23/facebook-posts/no-facebook-hasnt-banned-trump-advertising/,mber 23^ 2020,Facebook posts,false
"Biden wants to end Shareholder Capitalism.. that's your 401k..your pensions.. your retirement.. are you voting for that???",https://www.politifact.com/factchecks/2020/sep/23/facebook-posts/no-biden-doesnt-want-dissolve-stock-market/,mber 23^ 2020,Facebook posts,barely-true
A clip of Joe Biden shows him reading a response to an interview question from a teleprompter^ saying “I lost that line.”,https://www.politifact.com/factchecks/2020/sep/23/instagram-posts/no-biden-wasnt-reading-pre-written-response-questi/,mber 23^ 2020,Instagram posts,pants-fire
“24 of every 100 kids in school today speak Spanish.”,https://www.politifact.com/factchecks/2020/sep/23/joe-biden/fact-checking-bidens-claim-about-number-students-w/,mber 23^ 2020,Joe Biden,half-true
